time_index,maturity_i,maturity_j,covariance
2,1 Yr,10 Yr,0.011270746954990104
2,1 Yr,20 Yr,0.007686698518170888
2,1 Yr,30 Yr,0.006246975434295427
2,2 Yr,1 Mo,0.003415974170282613
2,2 Yr,2 Mo,0.0069319526091808715
2,2 Yr,3 Mo,0.005489377836874849
2,2 Yr,4 Mo,0.006936137062219195
2,2 Yr,6 Mo,0.011419723214309372
2,2 Yr,1 Yr,0.020512849667139826
2,2 Yr,2 Yr,0.031109928849958793
2,2 Yr,3 Yr,0.030144292935524515
2,2 Yr,5 Yr,0.027164334160458378
2,2 Yr,7 Yr,0.02421522325322197
2,2 Yr,10 Yr,0.020228127117745756
2,2 Yr,20 Yr,0.014845650109564117
2,2 Yr,30 Yr,0.01239309322627298
2,3 Yr,1 Mo,4.872340368678083e-05
2,3 Yr,2 Mo,0.0045612564831309715
2,3 Yr,3 Mo,0.003703880410830421
2,3 Yr,4 Mo,0.005510669717929465
2,3 Yr,6 Mo,0.009795906803572962
2,3 Yr,1 Yr,0.018350103491293592
2,3 Yr,2 Yr,0.030144292935524515
2,3 Yr,3 Yr,0.03151812796105333
2,3 Yr,5 Yr,0.029579434824990508
2,3 Yr,7 Yr,0.027135307893333984
2,3 Yr,10 Yr,0.023469356074432887
2,3 Yr,20 Yr,0.01852023231848801
2,3 Yr,30 Yr,0.016182059126689317
2,5 Yr,1 Mo,-0.0008159802137353206
2,5 Yr,2 Mo,0.003216408836689501
2,5 Yr,3 Mo,0.0029553575021561296
2,5 Yr,4 Mo,0.004471251879369798
2,5 Yr,6 Mo,0.008282000333302173
2,5 Yr,1 Yr,0.01581736092095454
2,5 Yr,2 Yr,0.027164334160458374
2,5 Yr,3 Yr,0.029579434824990508
2,5 Yr,5 Yr,0.029196904329539735
2,5 Yr,7 Yr,0.027492405729887318
2,5 Yr,10 Yr,0.024633520895728334
2,5 Yr,20 Yr,0.020647914412795922
2,5 Yr,30 Yr,0.01870996027944394
2,7 Yr,1 Mo,-0.00025434043058827335
2,7 Yr,2 Mo,0.002582363497256116
2,7 Yr,3 Mo,0.00253016343939846
2,7 Yr,4 Mo,0.0039177212466902835
2,7 Yr,6 Mo,0.007255320976816181
2,7 Yr,1 Yr,0.013768057023977598
2,7 Yr,2 Yr,0.024215223253221972
2,7 Yr,3 Yr,0.027135307893333988
2,7 Yr,5 Yr,0.02749240572988732
2,7 Yr,7 Yr,0.026524264828394952
2,7 Yr,10 Yr,0.024325565174203808
2,7 Yr,20 Yr,0.021096946183919895
2,7 Yr,30 Yr,0.019498427923759085
2,10 Yr,1 Mo,0.0008904455724551848
2,10 Yr,2 Mo,0.0020407311747427438
2,10 Yr,3 Mo,0.0022642555929325812
2,10 Yr,4 Mo,0.00322120871303425
2,10 Yr,6 Mo,0.005922949319277145
2,10 Yr,1 Yr,0.011270746954990104
2,10 Yr,2 Yr,0.020228127117745756
2,10 Yr,3 Yr,0.023469356074432884
2,10 Yr,5 Yr,0.024633520895728334
2,10 Yr,7 Yr,0.024325565174203805
2,10 Yr,10 Yr,0.02306516835534741
2,10 Yr,20 Yr,0.0208765131524022
2,10 Yr,30 Yr,0.019786942009460618
2,20 Yr,1 Mo,0.0014186787695752896
2,20 Yr,2 Mo,0.0008158681127433736
2,20 Yr,3 Mo,0.0017404272022509572
2,20 Yr,4 Mo,0.0020526414336454004
2,20 Yr,6 Mo,0.00404426626416466
2,20 Yr,1 Yr,0.007686698518170887
2,20 Yr,2 Yr,0.014845650109564115
2,20 Yr,3 Yr,0.01852023231848801
2,20 Yr,5 Yr,0.020647914412795922
2,20 Yr,7 Yr,0.021096946183919895
2,20 Yr,10 Yr,0.0208765131524022
2,20 Yr,20 Yr,0.020349921233112706
2,20 Yr,30 Yr,0.019762311805417286
2,30 Yr,1 Mo,0.002201813444228579
2,30 Yr,2 Mo,0.00083263765991332
